"album_name","track_name","line","lyric"
"Taylor Swift","Picture To Burn",28,"You're a redneck heartbreak, who's really bad at lying"
"Taylor Swift","Picture To Burn",29,"So watch me strike a match on all my wasted time"
"Taylor Swift","Picture To Burn",30,"As far as I'm concerned, you're just another picture to burn"
"Taylor Swift","Picture To Burn",31,"Burn, burn, burn, baby, burn"
"Taylor Swift","Picture To Burn",32,"You're just another picture to burn"
"Taylor Swift","Picture To Burn",33,"Baby, burn"
"Taylor Swift","Teardrops On My Guitar",1,"Drew looks at me"
"Taylor Swift","Teardrops On My Guitar",2,"I fake a smile so he won't see"
"Taylor Swift","Teardrops On My Guitar",3,"That I want and I'm needing"
"Taylor Swift","Teardrops On My Guitar",4,"Everything that we should be"
"Taylor Swift","Teardrops On My Guitar",5,"I'll bet she's beautiful, that girl he talks about"
"Taylor Swift","Teardrops On My Guitar",6,"And she's got everything that I have to live without"
"Taylor Swift","Teardrops On My Guitar",7,"Drew talks to me"
"Taylor Swift","Teardrops On My Guitar",8,"I laugh 'cause it's so damn funny"
"Taylor Swift","Teardrops On My Guitar",9,"That I can't even see"
"Taylor Swift","Teardrops On My Guitar",10,"Anyone when he's with me"
"Taylor Swift","Teardrops On My Guitar",11,"He says he's so in love, he's finally got it right"
"Taylor Swift","Teardrops On My Guitar",12,"I wonder if he knows he's all I think about at night"
"Taylor Swift","Teardrops On My Guitar",13,"He's the reason for the teardrops on my guitar"
"Taylor Swift","Teardrops On My Guitar",14,"The only thing that keeps me wishing on a wishing star"
"Taylor Swift","Teardrops On My Guitar",15,"He's the song in the car"
"Taylor Swift","Teardrops On My Guitar",16,"I keep singing, don't know why I do..."
"Taylor Swift","Teardrops On My Guitar",17,"Drew walks by me"
"Taylor Swift","Teardrops On My Guitar",18,"Can't he tell that I can't breathe?"
"Taylor Swift","Teardrops On My Guitar",19,"And there he goes, so perfectly"
"Taylor Swift","Teardrops On My Guitar",20,"The kind of flawless I wish I could be"
"Taylor Swift","Teardrops On My Guitar",21,"She'd better hold him tight, give him all her love"
"Taylor Swift","Teardrops On My Guitar",22,"Look in those beautiful eyes and know she's lucky 'cause"
"Taylor Swift","Teardrops On My Guitar",23,"He's the reason for the teardrops on my guitar"
"Taylor Swift","Teardrops On My Guitar",24,"The only thing that keeps me wishing on a wishing star"
"Taylor Swift","Teardrops On My Guitar",25,"He's the song in the car"
"Taylor Swift","Teardrops On My Guitar",26,"I keep singing, don't know why I do..."
"Taylor Swift","Teardrops On My Guitar",27,"So I drive home alone, as I turn off the light"
"Taylor Swift","Teardrops On My Guitar",28,"I'll put his picture down and maybe get some sleep tonight"
"Taylor Swift","Teardrops On My Guitar",29,"'Cause he's the reason for the teardrops on my guitar"
"Taylor Swift","Teardrops On My Guitar",30,"The only one who's got enough of me to break my heart"
"Taylor Swift","Teardrops On My Guitar",31,"He's the song in the car"
"Taylor Swift","Teardrops On My Guitar",32,"I keep singing, don't know why I do..."
"Taylor Swift","Teardrops On My Guitar",33,"He's the time taken up, but there's never enough"
"Taylor Swift","Teardrops On My Guitar",34,"And he's all that I need to fall into"
"Taylor Swift","Teardrops On My Guitar",35,"Drew looks at me"
"Taylor Swift","Teardrops On My Guitar",36,"I fake a smile so he won't see"
"Taylor Swift","A Place In This World",1,"I don't know what I want, so don't ask me"
"Taylor Swift","A Place In This World",2,"Cause I'm still trying to figure it out"
"Taylor Swift","A Place In This World",3,"Don't know what's down this road, I'm just walking"
"Taylor Swift","A Place In This World",4,"Trying to see through the rain coming down"
"Taylor Swift","A Place In This World",5,"Even though I'm not the only one"
"Taylor Swift","A Place In This World",6,"Who feels the way I do"
"Taylor Swift","A Place In This World",7,"I'm alone, on my own, and that's all I know"
"Taylor Swift","A Place In This World",8,"I'll be strong, I'll be wrong, oh but life goes on"
"Taylor Swift","A Place In This World",9,"Oh, I'm just a girl, trying to find a place in this world"
"Taylor Swift","A Place In This World",10,"Got the radio on, my old blue jeans"
"Taylor Swift","A Place In This World",11,"And I'm wearing my heart on my sleeve"
"Taylor Swift","A Place In This World",12,"Feeling lucky today, got the sunshine"
"Taylor Swift","A Place In This World",13,"Could you tell me what more do I need"
"Taylor Swift","A Place In This World",14,"And tomorrow's just a mystery, oh yeah"
"Taylor Swift","A Place In This World",15,"But that's OK"
"Taylor Swift","A Place In This World",16,"I'm alone, on my own, and that's all I know"
"Taylor Swift","A Place In This World",17,"I'll be strong, I'll be wrong, oh but life goes on"
"Taylor Swift","A Place In This World",18,"Oh, I'm just a girl, trying to find a place in this world"
"Taylor Swift","A Place In This World",19,"Maybe I'm just a girl on a mission"
"Taylor Swift","A Place In This World",20,"But I'm ready to fly"
"Taylor Swift","A Place In This World",21,"I'm alone, on my own, and that's all I know"
"Taylor Swift","A Place In This World",22,"I'll be strong, I'll be wrong, oh but life goes on"
"Taylor Swift","A Place In This World",23,"Oh I'm alone, on my own, and that's all I know"
"Taylor Swift","A Place In This World",24,"Oh I'm just a girl, trying to find a place in this world"
"Taylor Swift","A Place In This World",25,"Oh I'm just a girl"
"Taylor Swift","A Place In This World",26,"Oh I'm just a girl, oh, oh"
"Taylor Swift","A Place In This World",27,"Oh I'm just a girl"
"Taylor Swift","Cold As You",1,"You have a way of coming easily to me"
"Taylor Swift","Cold As You",2,"And when you take, you take the very best of me"
"Taylor Swift","Cold As You",3,"So I start a fight cause I need to feel something"
"Taylor Swift","Cold As You",4,"And you do what you want 'cause I'm not what you wanted"
"Taylor Swift","Cold As You",5,"Oh, what a shame, what a rainy ending given to a perfect day"
"Taylor Swift","Cold As You",6,"Just walk away, ain't no use defending words that you will never say"
"Taylor Swift","Cold As You",7,"And now that I'm sitting here thinking it through"
"Taylor Swift","Cold As You",8,"I've never been anywhere cold as you"
"Taylor Swift","Cold As You",9,"You put up walls and paint them all a shade of gray"
"Taylor Swift","Cold As You",10,"And I stood there loving you and wished them all away"
"Taylor Swift","Cold As You",11,"And you come away with a great little story"
"Taylor Swift","Cold As You",12,"Of a mess of a dreamer with the nerve to adore you"
"Taylor Swift","Cold As You",13,"Oh, what a shame, what a rainy ending given to a perfect day"
"Taylor Swift","Cold As You",14,"So just walk away, ain't no use defending words that you will never say"
"Taylor Swift","Cold As You",15,"And now that I'm sitting here thinking it through"
"Taylor Swift","Cold As You",16,"I've never been anywhere cold as you"
"Taylor Swift","Cold As You",17,"You never did give a damn thing, honey, but I cried, cried for you"
"Taylor Swift","Cold As You",18,"And I know you wouldn't have told nobody if I died, died for you"
"Taylor Swift","Cold As You",19,"(Died for you)"
"Taylor Swift","Cold As You",20,"Oh, what a shame, what a rainy ending given to a perfect day"
"Taylor Swift","Cold As You",21,"Every smile you fake is so condescending"
"Taylor Swift","Cold As You",22,"Counting all the scars you made"
"Taylor Swift","Cold As You",23,"And now that I'm sitting here thinking it through"
"Taylor Swift","Cold As You",24,"I've never been anywhere cold as you"
"Taylor Swift","The Outside",1,"I didn't know what I would find"
"Taylor Swift","The Outside",2,"When I went looking for a reason, I know"
"Taylor Swift","The Outside",3,"I didn't read between the lines"
"Taylor Swift","The Outside",4,"And, baby, I've got nowhere to go"
"Taylor Swift","The Outside",5,"I tried to take the road less traveled by"
"Taylor Swift","The Outside",6,"But nothing seems to work the first few times"
"Taylor Swift","The Outside",7,"Am I right?"
"Taylor Swift","The Outside",8,"So how can I ever try to be better?"
"Taylor Swift","The Outside",9,"Nobody ever lets me in"
"Taylor Swift","The Outside",10,"I can still see you, this ain't the best view"
"Taylor Swift","The Outside",11,"On the outside looking in"
"Taylor Swift","The Outside",12,"I've been a lot of lonely places"
"Taylor Swift","The Outside",13,"I've never been on the outside"
"Taylor Swift","The Outside",14,"You saw me there, but never knew"
"Taylor Swift","The Outside",15,"I would give it all up to be"
"Taylor Swift","The Outside",16,"A part of this, a part of you"
"Taylor Swift","The Outside",17,"And now it's all too late so you see"
"Taylor Swift","The Outside",18,"You could've helped if you had wanted to"
"Taylor Swift","The Outside",19,"But no one notices until it's too"
"Taylor Swift","The Outside",20,"Late to do anything"
"Taylor Swift","The Outside",21,"So how can I ever try to be better?"
"Taylor Swift","The Outside",22,"Nobody ever lets me in"
"Taylor Swift","The Outside",23,"I can still see you, this ain't the best view"
"Taylor Swift","The Outside",24,"On the outside looking in"
"Taylor Swift","The Outside",25,"I've been a lot of lonely places"
"Taylor Swift","The Outside",26,"I've never been on the outside"
"Taylor Swift","The Outside",27,"Oh yeah"
"Taylor Swift","The Outside",28,"So how can I ever try to be better?"
"Taylor Swift","The Outside",29,"Nobody ever lets me in"
"Taylor Swift","The Outside",30,"I can still see you, this ain't the best view"
"Taylor Swift","The Outside",31,"On the outside looking in"
"Taylor Swift","The Outside",32,"I've been a lot of lonely places"
"Taylor Swift","The Outside",33,"I've never been on the outside"
"Taylor Swift","The Outside",34,"Oh-oh"
"Taylor Swift","The Outside",35,"Oh, oh-oh"
"Taylor Swift","The Outside",36,"Oh-oh"
"Taylor Swift","The Outside",37,"Oh-oh"
"Taylor Swift","Tied Together With A Smile",1,"Seems the only one who doesn't see your beauty"
"Taylor Swift","Tied Together With A Smile",2,"Is the face in the mirror looking back at you"
"Taylor Swift","Tied Together With A Smile",3,"You walk around here thinking you're not pretty"
"Taylor Swift","Tied Together With A Smile",4,"But that's not true, 'cause I know you"
"Taylor Swift","Tied Together With A Smile",5,"Hold on, baby, you're losing it"
"Taylor Swift","Tied Together With A Smile",6,"The water's high, you're jumping into it"
"Taylor Swift","Tied Together With A Smile",7,"And letting go and no one knows"
"Taylor Swift","Tied Together With A Smile",8,"That you cry, but you don't tell anyone"
"Taylor Swift","Tied Together With A Smile",9,"That you might not be the golden one"
"Taylor Swift","Tied Together With A Smile",10,"And you're tied together with a smile"
"Taylor Swift","Tied Together With A Smile",11,"But you're coming undone"
"Taylor Swift","Tied Together With A Smile",12,"I guess it's true that love was all you wanted"
"Taylor Swift","Tied Together With A Smile",13,"'Cause you're giving it away like it's extra change"
"Taylor Swift","Tied Together With A Smile",14,"Hoping it will end up in his pocket"
"Taylor Swift","Tied Together With A Smile",15,"But he leaves you out like a penny in the rain"
"Taylor Swift","Tied Together With A Smile",16,"Oh, 'cause it's not his price to pay"
"Taylor Swift","Tied Together With A Smile",17,"It's not his price to pay"
"Taylor Swift","Tied Together With A Smile",18,"Hold on, baby, you're losing it"
"Taylor Swift","Tied Together With A Smile",19,"The water's high, you're jumping into it"
"Taylor Swift","Tied Together With A Smile",20,"And letting go and no one knows"
"Taylor Swift","Tied Together With A Smile",21,"That you cry, but you don't tell anyone"
"Taylor Swift","Tied Together With A Smile",22,"That you might not be the golden one"
"Taylor Swift","Tied Together With A Smile",23,"And you're tied together with a smile"
"Taylor Swift","Tied Together With A Smile",24,"But you're coming undone"
"Taylor Swift","Tied Together With A Smile",25,"Oh, ooh-oh"
"Taylor Swift","Tied Together With A Smile",26,"Hold on, baby, you're losing it"
"Taylor Swift","Tied Together With A Smile",27,"The water's high, you're jumping into it"
"Taylor Swift","Tied Together With A Smile",28,"And letting go and no one knows"
"Taylor Swift","Tied Together With A Smile",29,"That you cry but you don't tell anyone"
"Taylor Swift","Tied Together With A Smile",30,"That you might not be the golden one"
"Taylor Swift","Tied Together With A Smile",31,"And you're tied together with a smile"
"Taylor Swift","Tied Together With A Smile",32,"But you're coming undone"
"Taylor Swift","Tied Together With A Smile",33,"You're tied together with a smile"
"Taylor Swift","Tied Together With A Smile",34,"But you're coming undone oh"
"Taylor Swift","Tied Together With A Smile",35,"Goodbye, baby"
"Taylor Swift","Tied Together With A Smile",36,"With a smile, baby, baby"
"Taylor Swift","Stay Beautiful",1,"Corey's eyes are like a jungle"
"Taylor Swift","Stay Beautiful",2,"He smiles, it's like the radio"
"Taylor Swift","Stay Beautiful",3,"He whispers songs into my window in words that nobody knows"
"Taylor Swift","Stay Beautiful",4,"These pretty girls on every corner"
"Taylor Swift","Stay Beautiful",5,"They watch him as he's walking home, saying, ""Does he know?"""
"Taylor Swift","Stay Beautiful",6,"Will you ever know?"
"Taylor Swift","Stay Beautiful",7,"You're beautiful"
"Taylor Swift","Stay Beautiful",8,"Every little piece, love"
